英文,中文
"The problem did not stop there. As house prices continue to fall, a new situation emerged: The money the bank got after auctioning the defaulted house was less than the loan the home buyer owed the bank, the home buyer still need to repay the loan. So stopping repayment does not necessarily mean that you are cleaned of the debt. For example, if you paid a down payment of $600,000 and borrowed $2.4 million to buy a house worth $3 million at the time. When the house price falls to $2 million, you stop to repay the loan and give the house to the bank. After the bank auctions the house, you will not only lost your down payment of $600,000, but also owed $400,000 debts to the bank. You still have to repay the debt.",而问题不止如此，因为房价的持续下跌，大家停止还贷把房子给银行之后并不是你就没有债务了，如果银行拍卖房子得到的钱还还不上你欠银行的贷款的话，那么你还是需要接着还钱，简单点说假设你用首付60万，贷款240万买了一套当时价值300万的房子，当房价下跌到这个房子只值200万的时候，你不再还贷把房子给了银行，银行拍卖房子之后，你不仅损失了自己的首付60万，还倒欠银行40万的债务，你还是要接着还钱。
"Google is marking its own birthday today with a doodle. The doodle features a photo of a 90s' style computer with Google search page and date stamp for September 27, 1998, surrounded by confetti in Google colours. A smaller doodle with number 21 as candles, as a part of Google logo, shows on the search results page. The search giant was founded 21 years ago in 1998 by Larry Page and Sergey Brin, then students at Stanford University in California. September 27 is, however, not Google's actual birthday.",谷歌今天用涂鸦庆祝自己的生日。涂鸦是一张 90 年代风格的电脑照片，上面有谷歌搜索页面和 1998 年 9 月 27 日的日期戳，周围是谷歌颜色的五彩纸屑。搜索结果页面上会显示一个较小的涂鸦，谷歌标志设计成数字 21 形状的蜡烛。这家搜索巨头是 21 年前由拉里·佩奇和谢尔盖·布林于 1998 年创立的，当时他们是加州斯坦福大学的学生。然而， 9 月 27 日并不是谷歌的真正生日。
"""Part of what he's doing that makes it feel like a reality show is that he is feeding you something every night,"" said Brent Montgomery, chief executive of Wheelhouse Entertainment and the creator of ""Pawn Stars,"" about the Trump show's rotating cast and daily plot twists (picking a fight with the N.F.L., praising Kim Jong-un).",关于特朗普节目的演员轮换和日常的曲折情节（寻衅与美国职业橄榄球大联盟 (N.F.L.) 对抗，歌颂金正恩），舵手室娱乐制作公司 (Wheelhouse Entertainment) 董事长、《典当之星》(Pawn Stars) 创作者布伦特·蒙哥马利 (Brent Montgomery) 表示，“他正在做的某些事情让人感觉这像是一场真人秀，他每天晚上都在向你灌输一些东西”。
"""Sayfullo Habibullaevic Saipov caused injury, harm, and loss to the families and friends of Diego Enrique Angelini, Nicholas Cleves, Ann-Laure Decadt, Darren Drake, Ariel Erlij, Hernan Ferruchi, Hernan Diego Mendoza, and Alejandro Damian Pagnucco,"" the notice of intent states.",意向通知书中介绍称“赛富洛·赛波夫让受害者 Diego Enrique Angelini、Nicholas Cleves、Ann-Laure Decadt、Darren Drake、Ariel Erlij、Hernan Ferruchi、Hernan Diego Mendoza 和 Alejandro Damian Pagnucco 的家人和朋友蒙受了巨大的伤害和损失”。
"I don't believe de Grood should ever be unsupervised permanently. A parole-like system where he has to check in to make sure he's still taking his medication could work well. Arguing that he or other mentally ill people remain institutionalized unless absolutely necessary is a form of segregation. It perpetuates the idea that mentally ill people, those with schizophrenia in particular, cannot ever mesh with society; thus continuing the stigma and perpetuating the idea that they are dangerous criminals. He was found not criminally responsible by a court of law, so why should he be treated like a prisoner instead of someone who was ill and is now better?",我不认为德格罗德应该永远无人监管。通过一个类似假释制度进行监管，以确保他仍然在服用他的药物且药物有效。他辩称，除非绝对必要，否则他或其他精神病患者仍被收容是一种隔离。这会使精神病患者，特别是精神分裂症患者，永远无法融入社会；从而他们将继续被污名化，且视他们为危险罪犯的观念将永久化。法庭认定他不负刑事责任，为什么要把他当作囚犯对待，而不是把他当作一个生病了、现在康复了的人？
"Romania will spend 2.5 billion euros to modernize the Black Sea military base as part of counteracting Russia's growing presence in the region, according to The Times, quoted by the FOCUS News Agency. Mikhail Koglignichanu Airbase, located about 200 km. east of Bucharest, will be aligned with NATO standards, as evidenced by documents published by local news sites. Up to 10,000 NATO F-35 soldiers and aircraft can be accommodated there. It is planned to become a ""mini-city"" for the military with kindergartens, sports clubs and a hospital.","据焦点通讯社援引《泰晤士报》报道，罗马尼亚将斥资 25 亿欧元对黑海军事基地实施现代化改造，以对抗俄罗斯在该地区日益增长的势力。当地新闻网站发布的文件证明，位于布加勒斯特以东约 200 公里处的米哈伊尔·科格里格尼汉奴空军基地将与北约标准保持一致。此处最多可容纳 10,000 名北约 F-35 战斗机士兵。计划打造一座配有幼儿园、体育俱乐部和医院的军用“迷你城市”。"
"""Currently we are targeting young people 18 to 24 years. For the young people that's the age bracket we are looking at but of course any one above 18 and it's because we do not have evidence of children by the Constitution but as more evidence unfolds we are going to get there. For the men, we give the kit to the mother and they take it to the partner, key and priority populations such sex workers,"" Mr Geoffrey Tasi, the technical officer-in-charge of HIV testing services, said yesterday.",“18 至 24 岁的年轻人是我们目前的目标人群。这一年龄段的年轻人是我们的关注对象，当然任何 18 岁以上者都应纳入考虑范畴，我们目前没有《宪法》所规定的未成年人染病的证据，但随着越来越多的证据涌现，我们将朝着这个目标迈进。对于男性，我们会将试剂盒交给他们的母亲，然后由她们交给性伴侣，主要是性工作者等易感人群”艾滋病毒检测服务技术负责人杰弗里·塔西先生昨天表示。
"Janet Jackson, the Weeknd, Shawn Mendes, Cardi B, Janelle Monáe are among some of the acts performing at this year's event in New York, which will be hosted by Deborra-Lee Furness and Hugh Jackman.",珍妮·杰克逊 (Janet Jackson)、盆栽精 (the Weeknd)、肖恩·蒙德兹 (Shawn Mendes)、卡迪·B (Cardi B) 和杰奈尔·莫娜 (Janelle Monáe) 将担任行的音乐节活动的表演嘉宾，本次音乐节将由黛博拉-李·福奈丝 (Deborra-Lee Furness) 和休·杰克曼 (Hugh Jackman) 主持。
"In the healthcare sector, the 4,500 members of the Service Employees International Union Local 49 workers at Kaiser Permanente authorized a strike (with a 98 percent approval rate) if a deal isn't reached before their existing contract expires in October - which was only narrowly avoided with a new tentative agreement. Elsewhere in the industry, the Oregon Nurses Association, which represents more than 120 nurses at Astoria Hospital, has been deadlocked in contract negotiations with the hospital administration; their last contract expired in May, and the clock is ticking.","在医疗保健行业，如果凯萨医疗机构的 4,500 名服务业员工国际联合会本地 49分会会员在 10 月现有合同到期之前没有达成协议（只是通过新的临时协议暂时避开），则会批准罢工（批准率为 98％）。在该行业的其他领域，代表阿斯托里亚医院 120 多名护士的俄勒冈护士协会在与医院管理部门的合同谈判中陷入僵局，这些护士的最后一份合同已在 5 月到期，时间非常紧迫。"
"The People's Daily Overseas Edition published a commentary titled “Awards and Loans: The Joy and Worries of Struggling Young People” on January 17th. The article cited some data from an report on the progress of nationwide financial deleveraging in the 3rth quarter jointly published by the National Laboratory of Finance and Development of the Chinese Academy of Social Sciences and the National Balance Sheet Research Center in November 2017. According to the report, the leverage ratio of the residents' sector continues to climb, rising from 47.4% in the second quarter of 2017 to 48.6% in the third quarter, an increase of 1.3%, which amounts to an increase of 3.8% in the first three quarters of 2017.",《人民日报》海外版于1月17日发表了评论文章《奖与贷︰奋斗青年的乐与忧》，根据文中的数据显示，2017年11月，中国社科院国家金融与发展实验室、国家资产负债表研究中心发布的《三季度中国去杠杆进程报告》指出，居民部门杠杆率依然延续上升趋势，从2017年二季度的47.4%上升到三季度的48.6%，上升了1.3个百分点，2017年前三个季度上升了3.8个百分点。
"Some people cannot afford to pay their mortgages because their incomes were too low. The banks began to take over the houses from the home buyers who had defaulted on the loan, and then sold them at very low prices, resulting in a step-by-step price fall in the area. This vicious cycle caused a further decline in housing prices. When the housing prices had fallen to a certain extent, more and more home buyers found that their house values became lower than their loans. Thus, more and more people stopped repaying their home mortgages, resulting in a large number of bad debts.",从而有人因为收入过低支付不起房贷，于是银行就开始收回房产，当银行从拖欠贷款的购房者手中收回房产之后，他们会以极低的价格售出，从而导致了该地区的房价一步步下滑，这个过程又引发了房价进一步的下滑，形成了一个恶性循环，当房价下跌到一定的程度之后，越来越多的购房者发现自己的房子价值甚至已经比自己的贷款还低了，于是就有了更多的人停止继续还房贷，又造成了更多的坏账。
"""You keep reminding yourself that we had a big lead at Valderrama; we had a big lead at Brookline, where we lost, and at Valderrama, where we won, but only just,"" said Bjorn, pictured, after watching the Class of 2018 win 5-3 both on Friday and yesterday to lead 10-6 at Le Golf National.",在观看了周五和昨天在法国国家高尔夫球场 (Le Golf National) 举行的 2018 届两场比赛（分别以 5-3 胜出，最终以 10-6 的比分领先）后，比约恩描述到，“你们要时刻提醒自己我们在瓦德拉玛 (Valderrama) 和布鲁克莱恩曾以大比分领先；虽然在布鲁克莱恩我们输了，但在瓦德拉玛 (Valderrama) 我们获得了险胜”。
"As per these instructions, the cases of government servants covered by FR 56 (J), 56 (1) or Rule 48 (1) (b) of CCS (Pension) Rules, 1972 should be reviewed six months before they attain the age of 50-55 years, in cases covered by FR 56 (j) and on completion of 30 years of qualifying service under FR 56 (1) or Rule 48 of CCS (Pension) Rules, 1972.",根据这些规定，1972 年《基本规则》第 56（J）、56（1）或《中央公务员（退休金）规则》第 48（1）（b）条所规定的政府雇员的情况，若符合 1972 年《基本规则》56（J）所述的情况，以及依据《基本规则》第 56（1）或《中央公务员（退休金）规则》第 48 条规定公务员任职满 30 年时，应在他们达到 50-55 岁之前六个月进行审查。
"The 054A frigate has been favored by the Chinese Navy for many years thanks to its high cost performance and good combat effectiveness. With a displacement of 4,000 tons, the warship is equipped with a 76-mm main gun, and shared launching system for 32 HQ-16 and Fish-8 anti-submarine missiles, 8 YJ-83 anti-ship missiles and 1 Z-9 helicopter. Although it was first built in 2006 and was designed even earlier, its combat effectiveness is not too bad even by today's standard. It can be ranked as medium- to high level frigate among all the frigates in the world.",054A护卫舰凭借较高的性价比和不错的战斗力多年以来一直得到中国海军的青睐，其4000吨左右的排水量，搭载有一门76毫米主炮，32单元海红旗-16和鱼-8反潜导弹共架发射的垂发系统，8枚鹰击83和一架直-9直升机，虽然是2006年开始建造，设计时间更是很早的一种舰艇，但是其战斗力即使放到当今也不算太差，放眼全世界的护卫舰当中也能达到中上的水平。
"As long as de Grood continues to take his medication, there isn't a huge risk of reoffense, so why are people so concerned? I believe the stigma surrounding people with mental illness, particularly those with schizophrenia, largely influences this fear. Certain mental illnesses have become less stigmatized, such as mood and anxiety disorders. But others, including schizophrenia, remain highly stigmatized. This is in large part due to numerous portrayals of schizophrenics as dangerous people with voices in their heads telling them to kill people.",只要德·格罗德继续服药，再犯罪的风险就不会很大，那么人们为什么这么担心呢？我认为，人们对精神病患者，特别是精神分裂症患者的污名，很大程度上导致了这种恐惧。某些精神疾病已经变得不那么可怕了，比如情绪和焦虑障碍。但其他疾病，包括精神分裂症，仍然被高度污名化。这在很大程度上是因为许多人把精神分裂症患者描绘成危险人物，他们的脑袋里有声音告诉他们要杀人。
"With the launching of the latest model of 054A frigate at the end of 2017, the number of 054A frigate has reached 29, approaching the sum of the 053H series frigates. Since the first 054A was launched in 2006, the history of building 054A has extended to 12 years. Building such a large number of high-performance general purpose frigates is very rare in the history. Apart from China, the only comparable accomplishment was made by the United States in the 1970s and 1980s when it built a host of 'Perry' class frigates.",随着2017年末一艘最新的054A型护卫舰的下水，标志着054A护卫舰已经建造了高达29艘之多，已经逼近了053H系列护卫舰的总和，而从2006年第一艘054A下水至今，054A的建造历程已经有了12年之久，即使在全世界范围内，建造如此数量之多的高性能通用护卫舰，除了中国，也只有美国在上个世纪7、80年代建造的“佩里”级护卫舰可以相提并论了。
"""The relentless search for better answers continues to be at the core of everything we do,"" Google writes on its Our Story page. ""Today, with more than 60,000 employees in 50 different countries, Google makes hundreds of products used by billions of people across the globe, from YouTube and Android to Smartbox and, of course, Google Search. Although we've ditched the Lego servers and added just a few more company dogs, our passion for building technology for everyone has stayed with us - from the dorm room, to the garage, and to this very day.","谷歌在“我们的故事”页面上写道：“对更好答案的不懈搜索仍然是我们所做一切的核心”。“如今，谷歌在 50 个不同国家拥有超过 60,000 名员工，从油管、安卓到心意宝，当然还有谷歌搜索，开发出数百种产品，供全球数十亿人使用 。尽管我们抛弃了乐高服务器，公司只增加了几只狗，但我们对为每个人打造技术的热情一直伴随着我们——从宿舍到车库，直到今天。"
"As inflation climbs and the cost of living in Oregon soars, these workers are being left to flounder, and management has shown little sympathy for their plight. Contract negotiations that began in February broke down in mid-August. At that point, the bosses had laid out some particularly egregious proposals - a paltry cost-of-living increase, a denial of seniority demands from long-term university workers, and a price hike for staff meals - that workers saw as disrespectful, and even cruel. ""There is an unwritten class system at the universities,"" Fulmer said. ""And we are at the bottom of it.""",随着通货膨胀加剧，俄勒冈州生活成本飙升，这些工作人员陷入困境，而管理层对此几乎没有表示出同情。2 月开始的合同谈判在 8 月中旬中断。那时，老板们提出了一些特别过分的建议——轻微增加生活成本，拒绝大学长期工作人员的资历要求，员工餐费上涨——工作人员认为这是不尊重他们，甚至是残忍对待。富尔默表示：“大学里有不成文的阶级制度。而我们处于最底层。”
"It may also undermine the rationale behind the current administration's corporate tax breaks, which were passed through Congress in 2017. The goal was to convince multinationals to bring back manufacturing jobs as money trickles down to the middle and poor classes. In practice, it seems, it led to extra bonuses for executives and the rest of the country largely missing out on the benefits a growing economy and record low unemployment. Well, someone needs to pay for all those private jet trips.",这还可能破坏现任政府实施的企业税收优惠政策背后的理念基础，这些政策于 2017 年获得国会的批准。其目的是说服跨国公司将制造业的工作岗位带回美国，同时让收入流向中产阶层和贫困阶层。而事实上，这些政策似乎只为高管们带来了额外收入，而其他大部分美国人则错失了经济增长和创纪录的低失业率带来的惠益。话说回来，总得有人为那些私人飞机的旅行买单。
"Tennessee State Tigers linebacker Christion Abercrombie underwent emergency surgery after suffering a head injury in Saturday's 31-27 defeat to the Vanderbilt Commodores, the Tennessean's Mike Organ reported.",田纳西州的 Mike Organ 报道称，田纳西州立大学猛虎队 (Tennessee State Tigers) 于周六以31-27击败范德比尔特大学海军准将队 (Vanderbilt Commodores)，比赛中，猛虎队后卫球员克里斯蒂安·阿伯克龙比 (Christion Abercrombie) 头部受伤，随后接受了紧急手术。
"Grant Anderson's 14th minute try, converted by Frazier Climo, put Ayr in front, but, a yellow card for Scotland cap Rory Hughes, released for the game by Warriors, allowed Melrose to make numbers tell and Jason Baggot grabbed an unconverted try.",格兰特·安德森 (Grant Anderson) 在第 14 分钟的尝试使艾尔联暂时领先，随后被弗雷泽·克里莫 (Frazier Climo) 换下，但是由于在对抗勇士队的比赛中苏格兰队员罗里·休斯 (Hughes) 遭遇黄牌，使得梅尔罗斯队在人数上占据优势，而贾森·巴格特 (Jason Baggot) 则抓住了没有被换下场的机会。
"A radio host in New Orleans said he received an anti-gay slur, sent to him from the radio station's Twitter account. On Wednesday, WWL host Seth Dunlap, who is openly gay, said he planned to sue the station's parent company after working for years in a homophobic and hostile workplace. In a strange turn of events Thursday, the New Orleans Police Department said the homophobic tweet sent to Dunlap came from none other than Dunlap's phone.",新奥尔良的一名电台主持人表示他收到该电台的推特账户发给他的一条反同性恋诽谤推文。WWL 主持人赛斯·丹拉普是一名公开的同性恋者，他在星期三表示，他打算起诉电台母公司，因为多年以来他一直在一个厌恶同性恋且充满敌意的环境中工作。星期四，事情发生了离奇的反转，新奥尔良警察局称，丹拉普收到的恐同推文不是来自别处，而正是由丹拉普的手机发出的。
"And Oregon's state university workers aren't the only ones taking action. Oregon is a powder keg of militancy right now, and its fuse is now burning bright and hot. Grocery store workers at the Fred Meyer supermarket chain are ramping up their campaign against their employer, and while there are no official plans to strike yet, tensions are running high; their union, United Food and Commercial Workers Local 555, has already called for a boycott, and filed an unfair labor practice report against the chain.",俄勒冈州立大学的工作人员并不是唯一采取行动的人群。俄勒冈州现在是充满斗志的火药桶，保险丝已烧得又热又亮。弗雷德·迈耶连锁超市的杂货店工作人员正在紧锣密鼓地开展针对雇主的运动，虽然还没有正式的罢工计划，但紧张局势不断升级；他们的工会——食品和商业工人联合会本地 555 分会已经要求联合抵制，并针对该连锁店提出了不公平的劳工实践报告。
"Wang's death follows after those of other activists including grassroots lawyer Ji Sizun, who died in police custody in July, Uighur scholar Muhammad Salih Hajim who died last year. Nobel laureate winner Liu Xiaobo who was denied cancer treatment died in 2017 while serving an 11-year-prison sentence and activist Cao Shunli died in 2014, detained after attempting to attend a UN session on human rights in China.",在王美余之前，其他中国维权人士也遭遇过类似事件，如去年七月死在看守所的草根律师纪斯尊，以及去年逝世的维吾尔族学者穆罕默德·萨利赫·阿吉。2017 年，尚在狱中服刑（刑期 11 年）的诺贝尔奖得主刘小波罹患癌症，因当局拒绝为其治疗而病逝；2014年，维权人士曹顺利试图出席联合国召开的有关中国人权状况的会议，途中遭到拘留，随后亡故。
